,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
622,"Rossetti, Christina Georgina",,England,Volume,London,Andrew Melrose,,
623,"Rossetti, Christina Georgina",,England,Volume,Basingstoke,Macmillan,,English
624,"Rossetti, Christina Georgina",,,Volume,,,,
625,"Rossetti, Christina Georgina",,,Volume,,,,
626,"Rossetti, Christina Georgina",'Beautiful Poems' Series,England,Volume,London,,,
627,"Rossetti, Christina Georgina",,England,Volume,Nottingham,Candlestick,,English
628,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,English
629,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,English
630,"Rossetti, Christina Georgina",Oxford world's classics,England,Volume,Oxford,Oxford University Press,,English
631,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
632,"Hann, Sidney",Eboracum choral series,England,Volume,York,Banks Music,,English
633,"Rossetti, Christina Georgina",,Wales,Volume,Aberystwyth,Gwasg Aberystwyth,,Welsh
